Epoch 1/30, Loss: 150.421907
Epoch 2/30, Loss: 134.310830
Epoch 3/30, Loss: 134.064397
Epoch 4/30, Loss: 125.767456
Epoch 5/30, Loss: 118.202656
Epoch 6/30, Loss: 112.680784
Epoch 7/30, Loss: 109.167743
Epoch 8/30, Loss: 107.962774
Epoch 9/30, Loss: 104.728592
Epoch 10/30, Loss: 103.772654
Epoch 11/30, Loss: 102.081615
Epoch 12/30, Loss: 98.753548
Epoch 13/30, Loss: 95.819060
Epoch 14/30, Loss: 94.000784
Epoch 15/30, Loss: 90.926870
Epoch 16/30, Loss: 89.344638
Epoch 17/30, Loss: 85.838217
Epoch 18/30, Loss: 83.057849
Epoch 19/30, Loss: 79.182513
Epoch 20/30, Loss: 75.080114
Epoch 21/30, Loss: 69.661483
Epoch 22/30, Loss: 65.032015
Epoch 23/30, Loss: 59.172272
Epoch 24/30, Loss: 53.039009
Epoch 25/30, Loss: 44.925533
Epoch 26/30, Loss: 39.130972
Epoch 27/30, Loss: 31.857048
Epoch 28/30, Loss: 26.278983
Epoch 29/30, Loss: 22.239869
Epoch 30/30, Loss: 20.253466
