Epoch 1/30, Loss: 69.932863
Epoch 2/30, Loss: 59.201136
Epoch 3/30, Loss: 56.315911
Epoch 4/30, Loss: 54.412246
Epoch 5/30, Loss: 52.469408
Epoch 6/30, Loss: 50.635447
Epoch 7/30, Loss: 50.001933
Epoch 8/30, Loss: 49.617368
Epoch 9/30, Loss: 48.766967
Epoch 10/30, Loss: 48.011605
Epoch 11/30, Loss: 46.861297
Epoch 12/30, Loss: 45.630391
Epoch 13/30, Loss: 45.206820
Epoch 14/30, Loss: 44.269280
Epoch 15/30, Loss: 43.529187
Epoch 16/30, Loss: 41.223626
Epoch 17/30, Loss: 40.735620
Epoch 18/30, Loss: 39.136068
Epoch 19/30, Loss: 37.577107
Epoch 20/30, Loss: 35.545240
Epoch 21/30, Loss: 34.132192
Epoch 22/30, Loss: 31.769012
Epoch 23/30, Loss: 29.678106
Epoch 24/30, Loss: 26.667627
Epoch 25/30, Loss: 23.552197
Epoch 26/30, Loss: 20.107646
Epoch 27/30, Loss: 17.091129
Epoch 28/30, Loss: 14.577001
Epoch 29/30, Loss: 12.840247
Epoch 30/30, Loss: 12.149349
