Epoch 1/30, Loss: 21.920900
Epoch 2/30, Loss: 21.872075
Epoch 3/30, Loss: 20.179238
Epoch 4/30, Loss: 19.095706
Epoch 5/30, Loss: 18.903415
Epoch 6/30, Loss: 18.636964
Epoch 7/30, Loss: 17.970676
Epoch 8/30, Loss: 17.729756
Epoch 9/30, Loss: 17.313528
Epoch 10/30, Loss: 16.998159
Epoch 11/30, Loss: 16.768391
Epoch 12/30, Loss: 16.683772
Epoch 13/30, Loss: 16.356674
Epoch 14/30, Loss: 16.341703
Epoch 15/30, Loss: 15.766257
Epoch 16/30, Loss: 15.338588
Epoch 17/30, Loss: 14.872037
Epoch 18/30, Loss: 14.595374
Epoch 19/30, Loss: 14.076576
Epoch 20/30, Loss: 13.425816
Epoch 21/30, Loss: 12.855760
Epoch 22/30, Loss: 12.047462
Epoch 23/30, Loss: 11.560018
Epoch 24/30, Loss: 10.869203
Epoch 25/30, Loss: 10.031060
Epoch 26/30, Loss: 9.142891
Epoch 27/30, Loss: 8.383470
Epoch 28/30, Loss: 7.613648
Epoch 29/30, Loss: 7.179911
Epoch 30/30, Loss: 6.964405
