Epoch 1/30, Loss: 10.800268
Epoch 2/30, Loss: 6.274224
Epoch 3/30, Loss: 5.543810
Epoch 4/30, Loss: 4.866014
Epoch 5/30, Loss: 4.338009
Epoch 6/30, Loss: 4.089678
Epoch 7/30, Loss: 3.760186
Epoch 8/30, Loss: 3.589683
Epoch 9/30, Loss: 3.276603
Epoch 10/30, Loss: 3.135407
Epoch 11/30, Loss: 2.939247
Epoch 12/30, Loss: 2.849506
Epoch 13/30, Loss: 2.721840
Epoch 14/30, Loss: 2.584886
Epoch 15/30, Loss: 2.391757
Epoch 16/30, Loss: 2.327558
Epoch 17/30, Loss: 2.122341
Epoch 18/30, Loss: 2.007386
Epoch 19/30, Loss: 1.824513
Epoch 20/30, Loss: 1.650706
Epoch 21/30, Loss: 1.521443
Epoch 22/30, Loss: 1.364334
Epoch 23/30, Loss: 1.127706
Epoch 24/30, Loss: 0.947124
Epoch 25/30, Loss: 0.812294
Epoch 26/30, Loss: 0.640001
Epoch 27/30, Loss: 0.507390
Epoch 28/30, Loss: 0.418695
Epoch 29/30, Loss: 0.355159
Epoch 30/30, Loss: 0.329153
